week,position,performer,song,instance,previous_position,peak_position,weeks_on_chart
2018-03-24,93,"ScHoolboy Q, 2 Chainz & Saudi",X,1,89,49,5
2018-03-24,94,Jacquees X Dej Loaf,At The Club,1,86,86,6
2018-03-24,95,Blake Shelton,I Lived It,1,99,95,2
2018-03-24,96,High Valley,She's With Me,1,93,93,3
2018-03-24,97,Logic,BoomTrap Protocol,1,-,97,1
2018-03-24,98,Logic Featuring Young Sinatra,Warm It Up,1,-,98,1
2018-03-24,99,Luis Fonsi & Demi Lovato,Echame La Culpa,1,88,47,16
2018-03-24,100,Trippie Redd Featuring Travis Scott,Dark Knight Dummo,2,85,82,4
2018-03-31,1,Drake,God's Plan,1,1,1,9
2018-03-31,2,Bebe Rexha & Florida Georgia Line,Meant To Be,1,4,2,21
2018-03-31,3,Ed Sheeran,Perfect,2,2,1,29
2018-03-31,4,Bruno Mars & Cardi B,Finesse,1,3,3,12
2018-03-31,5,Post Malone Featuring Ty Dolla $ign,Psycho,1,5,2,4
2018-03-31,6,"Zedd, Maren Morris & Grey",The Middle,1,6,6,8
2018-03-31,7,XXXTENTACION,Sad!,1,19,7,3
2018-03-31,8,Camila Cabello Featuring Young Thug,Havana,2,7,1,31
2018-03-31,9,Lil Dicky Featuring Chris Brown,Freaky Friday,1,-,9,1
2018-03-31,10,The Weeknd & Kendrick Lamar,Pray For Me,1,8,7,7
2018-03-31,11,BlocBoy JB Featuring Drake,Look Alive,1,9,5,6
2018-03-31,12,Migos,Stir Fry,1,11,8,13
2018-03-31,13,Offset & Metro Boomin,Ric Flair Drip,1,15,13,20
2018-03-31,14,Kendrick Lamar & SZA,All The Stars,1,10,7,11
2018-03-31,15,Bazzi,Mine,1,17,15,9
2018-03-31,16,Dua Lipa,New Rules,1,14,6,33
2018-03-31,17,NF,Let You Down,1,13,12,22
2018-03-31,18,Post Malone Featuring 21 Savage,Rockstar,1,12,1,26
2018-03-31,19,Camila Cabello,Never Be The Same,2,16,16,13
2018-03-31,20,Migos Featuring Drake,Walk It Talk It,1,69,18,8
2018-03-31,21,G-Eazy & Halsey,Him & I,1,18,14,15
2018-03-31,22,Imagine Dragons,Thunder,1,20,4,46
2018-03-31,23,Rich The Kid,Plug Walk,1,25,23,6
2018-03-31,24,Imagine Dragons,Whatever It Takes,2,24,24,8
2018-03-31,25,Post Malone,I Fall Apart,1,22,16,25
2018-03-31,26,MAX Featuring gnash,Lights Down Low,1,23,20,23
2018-03-31,27,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,1,21,21,10
2018-03-31,28,Marshmello & Anne-Marie,Friends,1,41,28,6
2018-03-31,29,Maroon 5,Wait,2,32,29,10
2018-03-31,30,Kane Brown,Heaven,2,36,30,13
2018-03-31,31,Thomas Rhett,Marry Me,1,30,30,15
2018-03-31,32,Justin Timberlake Featuring Chris Stapleton,Say Something,1,26,9,8
2018-03-31,33,Halsey,Bad At Love,1,27,5,28
2018-03-31,34,Portugal. The Man,Feel It Still,1,28,4,39
2018-03-31,35,XXXTENTACION,Moonlight,1,-,35,1
2018-03-31,36,Jason Aldean,You Make It Easy,1,34,28,8
2018-03-31,37,XXXTENTACION,Changes,1,59,37,3
2018-03-31,38,Cardi B Featuring 21 Savage,Bartier Cardi,1,31,14,13
2018-03-31,39,YoungBoy Never Broke Again,Outside Today,1,35,31,10
2018-03-31,40,N*E*R*D & Rihanna,Lemon,1,61,40,19
2018-03-31,41,Selena Gomez X Marshmello,Wolves,1,33,20,21
2018-03-31,42,Kendrick Lamar Featuring Zacari,Love.,2,37,11,38
2018-03-31,43,"Migos, Nicki Minaj & Cardi B",MotorSport,1,40,6,20
2018-03-31,44,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,1,39,4,27
2018-03-31,45,Rich The Kid Featuring Kendrick Lamar,New Freezer,1,43,42,8
2018-03-31,46,Khalid,Young Dumb & Broke,1,42,18,35
2018-03-31,47,Luke Bryan,Most People Are Good,1,51,47,8
2018-03-31,48,Charlie Puth,How Long,1,38,21,23
2018-03-31,49,Lin-Manuel Miranda & Ben Platt,Found / Tonight,1,-,49,1
2018-03-31,50,Miguel Featuring Travis Scott,Sky Walker,2,44,29,25
2018-03-31,51,Rae Sremmurd & Juicy J,Powerglide,1,76,51,3
2018-03-31,52,Devin Dawson,All On Me,3,65,52,16
2018-03-31,53,Khalid & Normani,Love Lies,1,58,43,5
2018-03-31,54,Daddy Yankee,Dura,1,53,50,7
2018-03-31,55,Chris Stapleton,Broken Halos,4,45,45,17
2018-03-31,56,Logic & Marshmello,Everyday,1,29,29,3
2018-03-31,57,Jordan Davis,Singles You Up,1,57,57,7
2018-03-31,58,Dua Lipa,IDGAF,1,64,58,10
2018-03-31,59,Nicky Jam x J Balvin,X,1,71,59,3
2018-03-31,60,Scotty McCreery,Five More Minutes,1,55,44,15
2018-03-31,61,6ix9ine,Billy,1,50,50,4
2018-03-31,62,"DJ Khaled Featuring JAY Z, Future & B",Top Off,1,49,22,3
2018-03-31,63,6ix9ine,Gummo,1,52,12,18
2018-03-31,64,Meghan Trainor,No Excuses,1,67,46,3
2018-03-31,65,Derez De'Shon,Hardaway,1,72,65,7
2018-03-31,66,Taylor Swift,Delicate,1,84,66,2
2018-03-31,67,XXXTENTACION,The Remedy For A Broken Heart (Why Am I So In Love),1,-,67,1
2018-03-31,68,Bad Wolves,Zombie,1,54,54,2
2018-03-31,69,Ozuna & Romeo Santos,El Farsante,1,66,49,8
2018-03-31,70,Logic,44 More,1,46,22,4
2018-03-31,71,Famous Dex Featuring A$AP Rocky,Pick It Up,1,70,54,18
2018-03-31,72,Shawn Mendes,In My Blood,1,-,72,1
2018-03-31,73,Demi Lovato,Tell Me You Love Me,2,75,53,16
2018-03-31,74,Brett Eldredge,The Long Way,1,77,74,7
2018-03-31,75,Lil Skies Featuring Landon Cube,Red Roses,1,78,69,11
2018-03-31,76,Lil Xan,Betrayed,1,79,64,18
2018-03-31,77,Lil Yachty Featuring NBA YoungBoy,NBAYoungboat,1,63,63,2
2018-03-31,78,Tank,When We,3,86,78,11
2018-03-31,79,YoungBoy Never Broke Again,No Smoke,2,80,61,15
2018-03-31,80,Lauv,I Like Me Better,1,82,80,6
2018-03-31,81,Lil Skies Featuring Landon Cube,Nowadays,1,62,55,11
2018-03-31,82,XXXTENTACION,Numb,1,-,82,1
2018-03-31,83,XXXTENTACION Featuring Joey Bada$$,Infinity (888),1,-,83,1
2018-03-31,84,Luke Combs,One Number Away,1,-,84,1
2018-03-31,85,Blake Shelton,I Lived It,1,95,85,3
2018-03-31,86,Foster The People,Sit Next To Me,1,-,86,1
2018-03-31,87,Dan + Shay,Tequila,2,-,87,2
2018-03-31,88,Migos,Narcos,1,92,36,8
2018-03-31,89,Blac Youngsta,Booty,1,89,73,4
2018-03-31,90,High Valley,She's With Me,1,96,90,4
2018-03-31,91,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,2,-,91,2
2018-03-31,92,Old Dominion,Written In The Sand,1,81,51,17
2018-03-31,93,P!nk,Beautiful Trauma,2,90,78,13
2018-03-31,94,Chris Brown,Tempo,2,-,94,2
2018-03-31,95,XXXTENTACION,Going Down!,1,-,95,1
2018-03-31,96,Jacquees X Dej Loaf,At The Club,1,94,86,7
2018-03-31,97,Luis Fonsi & Demi Lovato,Echame La Culpa,1,99,47,17
2018-03-31,98,Ozuna x Cardi B,La Modelo,2,-,98,12
2018-03-31,99,Trippie Redd Featuring Travis Scott,Dark Knight Dummo,2,100,82,5
2018-03-31,100,The Chainsmokers,Everybody Hates Me,1,-,100,1
2018-04-07,1,Drake,God's Plan,1,1,1,10
2018-04-07,2,Bebe Rexha & Florida Georgia Line,Meant To Be,1,2,2,22
2018-04-07,3,Bruno Mars & Cardi B,Finesse,1,4,3,13
2018-04-07,4,Post Malone Featuring Ty Dolla $ign,Psycho,1,5,2,5
2018-04-07,5,Ed Sheeran,Perfect,2,3,1,30
2018-04-07,6,BlocBoy JB Featuring Drake,Look Alive,1,11,5,7
2018-04-07,7,"Zedd, Maren Morris & Grey",The Middle,1,6,6,9
2018-04-07,8,Lil Dicky Featuring Chris Brown,Freaky Friday,1,9,8,2
2018-04-07,9,XXXTENTACION,Sad!,1,7,7,4
2018-04-07,10,Camila Cabello Featuring Young Thug,Havana,2,8,1,32
2018-04-07,11,Bazzi,Mine,1,15,11,10
2018-04-07,12,The Weeknd & Kendrick Lamar,Pray For Me,1,10,7,8
2018-04-07,13,Migos,Stir Fry,1,12,8,14
2018-04-07,14,Camila Cabello,Never Be The Same,2,19,14,14
2018-04-07,15,Migos Featuring Drake,Walk It Talk It,1,20,15,9
2018-04-07,16,Kendrick Lamar & SZA,All The Stars,1,14,7,12
2018-04-07,17,Offset & Metro Boomin,Ric Flair Drip,1,13,13,21
2018-04-07,18,Rich The Kid,Plug Walk,1,23,18,7
2018-04-07,19,NF,Let You Down,1,17,12,23
2018-04-07,20,Dua Lipa,New Rules,1,16,6,34
2018-04-07,21,Post Malone Featuring 21 Savage,Rockstar,1,18,1,27
2018-04-07,22,Shawn Mendes,In My Blood,1,72,22,2
2018-04-07,23,Imagine Dragons,Whatever It Takes,2,24,23,9
2018-04-07,24,Imagine Dragons,Thunder,1,22,4,47
2018-04-07,25,G-Eazy & Halsey,Him & I,1,21,14,16
2018-04-07,26,Maroon 5,Wait,2,29,26,11
2018-04-07,27,MAX Featuring gnash,Lights Down Low,1,26,20,24
2018-04-07,28,Kane Brown,Heaven,2,30,28,14
2018-04-07,29,Post Malone,I Fall Apart,1,25,16,26
2018-04-07,30,Marshmello & Anne-Marie,Friends,1,28,28,7
2018-04-07,31,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,1,27,21,11
2018-04-07,32,Portugal. The Man,Feel It Still,1,34,4,40
2018-04-07,33,Justin Timberlake Featuring Chris Stapleton,Say Something,1,32,9,9
2018-04-07,34,Jason Aldean,You Make It Easy,1,36,28,9
2018-04-07,35,Thomas Rhett,Marry Me,1,31,30,16
2018-04-07,36,N*E*R*D & Rihanna,Lemon,1,40,36,20
2018-04-07,37,Halsey,Bad At Love,1,33,5,29
2018-04-07,38,Rae Sremmurd & Juicy J,Powerglide,1,51,38,4
2018-04-07,39,XXXTENTACION,Changes,1,37,37,4
2018-04-07,40,YoungBoy Never Broke Again,Outside Today,1,39,31,11
2018-04-07,41,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,1,44,4,28
2018-04-07,42,Rich The Kid Featuring Kendrick Lamar,New Freezer,1,45,42,9
2018-04-07,43,Kendrick Lamar Featuring Zacari,Love.,2,42,11,39
2018-04-07,44,Selena Gomez X Marshmello,Wolves,1,41,20,22
2018-04-07,45,"Migos, Nicki Minaj & Cardi B",MotorSport,1,43,6,21
2018-04-07,46,Luke Bryan,Most People Are Good,1,47,46,9
2018-04-07,47,Cardi B Featuring 21 Savage,Bartier Cardi,1,38,14,14
2018-04-07,48,XXXTENTACION,Moonlight,1,35,35,2
2018-04-07,49,Khalid & Normani,Love Lies,1,53,43,6
2018-04-07,50,Jordan Davis,Singles You Up,1,57,50,8
2018-04-07,51,Nicky Jam x J Balvin,X,1,59,51,4
2018-04-07,52,Taylor Swift,Delicate,1,66,52,3
2018-04-07,53,Daddy Yankee,Dura,1,54,50,8
2018-04-07,54,Dua Lipa,IDGAF,1,58,54,11
2018-04-07,55,Meghan Trainor,No Excuses,1,64,46,4
2018-04-07,56,6ix9ine,Gummo,1,63,12,19
2018-04-07,57,6ix9ine,Billy,1,61,50,5
2018-04-07,58,Chris Stapleton,Broken Halos,4,55,45,18
2018-04-07,59,Demi Lovato,Tell Me You Love Me,2,73,53,17
2018-04-07,60,Panic! At The Disco,Say Amen (Saturday Night),1,-,60,1
2018-04-07,61,Derez De'Shon,Hardaway,1,65,61,8
2018-04-07,62,Devin Dawson,All On Me,3,52,52,17
2018-04-07,63,Ozuna & Romeo Santos,El Farsante,1,69,49,9
2018-04-07,64,Shawn Mendes X Zedd,Lost In Japan,1,-,64,1
2018-04-07,65,Bad Wolves,Zombie,1,68,54,3
2018-04-07,66,"DJ Khaled Featuring JAY Z, Future & B",Top Off,1,62,22,4
2018-04-07,67,Logic & Marshmello,Everyday,1,56,29,4
2018-04-07,68,Brett Eldredge,The Long Way,1,74,68,8
2018-04-07,69,Lil Skies Featuring Landon Cube,Red Roses,1,75,69,12
2018-04-07,70,Famous Dex,Japan,1,-,70,1
2018-04-07,71,Famous Dex Featuring A$AP Rocky,Pick It Up,1,71,54,19
2018-04-07,72,Scotty McCreery,Five More Minutes,1,60,44,16
2018-04-07,73,Luke Combs,One Number Away,1,84,73,2
2018-04-07,74,Dan + Shay,Tequila,2,87,74,3
2018-04-07,75,Lil Yachty Featuring NBA YoungBoy,NBAYoungboat,1,77,63,3
2018-04-07,76,Lauv,I Like Me Better,1,80,76,7
2018-04-07,77,Lil Xan,Betrayed,1,76,64,19
2018-04-07,78,Foster The People,Sit Next To Me,1,86,78,2
2018-04-07,79,YoungBoy Never Broke Again,No Smoke,2,79,61,16
2018-04-07,80,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,2,91,80,3
2018-04-07,81,High Valley,She's With Me,1,90,81,5
2018-04-07,82,Tank,When We,3,78,78,12
2018-04-07,83,Blake Shelton,I Lived It,1,85,83,4
2018-04-07,84,Lil Skies Featuring Landon Cube,Nowadays,1,81,55,12
2018-04-07,85,Logic,44 More,1,70,22,5
2018-04-07,86,Morgan Wallen Featuring Florida Georgia Line,Up Down,1,-,86,1
2018-04-07,87,Keala Settle & The Greatest Showman Ensemble,This Is Me,2,-,87,12
2018-04-07,88,P!nk,Beautiful Trauma,2,93,78,14
2018-04-07,89,Migos,Narcos,1,88,36,9
2018-04-07,90,Luis Fonsi & Demi Lovato,Echame La Culpa,1,97,47,18
2018-04-07,91,Old Dominion,Written In The Sand,1,92,51,18
2018-04-07,92,Chris Brown,Tempo,2,94,92,3
2018-04-07,93,Blac Youngsta,Booty,1,89,73,5
2018-04-07,94,Ozuna x Cardi B,La Modelo,2,98,94,13
2018-04-07,95,Darius Rucker,For The First Time,1,-,95,1
2018-04-07,96,YBN Nahmir,Rubbin Off The Paint,3,-,96,16
2018-04-07,97,XXXTENTACION,The Remedy For A Broken Heart (Why Am I So In Love),1,67,67,2
2018-04-07,98,Trippie Redd Featuring Travis Scott,Dark Knight Dummo,2,99,82,6
2018-04-07,99,Daniel Caesar Featuring Kali Uchis,Get You,2,-,99,4
2018-04-07,100,Alice Merton,No Roots,1,-,100,1
2018-04-14,1,Drake,God's Plan,1,1,1,11
2018-04-14,2,Bebe Rexha & Florida Georgia Line,Meant To Be,1,2,2,23
2018-04-14,3,Post Malone Featuring Ty Dolla $ign,Psycho,1,4,2,6
2018-04-14,4,The Weeknd,Call Out My Name,1,-,4,1
2018-04-14,5,BlocBoy JB Featuring Drake,Look Alive,1,6,5,8
2018-04-14,6,"Zedd, Maren Morris & Grey",The Middle,1,7,6,10
2018-04-14,7,Ed Sheeran,Perfect,2,5,1,31
2018-04-14,8,Bruno Mars & Cardi B,Finesse,1,3,3,14
2018-04-14,9,Lil Dicky Featuring Chris Brown,Freaky Friday,1,8,8,3
2018-04-14,10,Migos Featuring Drake,Walk It Talk It,1,15,10,10
2018-04-14,11,Camila Cabello Featuring Young Thug,Havana,2,10,1,33
2018-04-14,12,Bazzi,Mine,1,11,11,11
2018-04-14,13,Rich The Kid,Plug Walk,1,18,13,8
2018-04-14,14,Camila Cabello,Never Be The Same,2,14,14,15
2018-04-14,15,The Weeknd & Kendrick Lamar,Pray For Me,1,12,7,9
2018-04-14,16,Cardi B,Be Careful,1,-,16,1
2018-04-14,17,Migos,Stir Fry,1,13,8,15
2018-04-14,18,XXXTENTACION,Sad!,1,9,7,5
2018-04-14,19,Kendrick Lamar & SZA,All The Stars,1,16,7,13
2018-04-14,20,Offset & Metro Boomin,Ric Flair Drip,1,17,13,22
2018-04-14,21,Post Malone Featuring 21 Savage,Rockstar,1,21,1,28
2018-04-14,22,Dua Lipa,New Rules,1,20,6,35
2018-04-14,23,Imagine Dragons,Whatever It Takes,2,23,23,10
2018-04-14,24,NF,Let You Down,1,19,12,24
2018-04-14,25,Marshmello & Anne-Marie,Friends,1,30,25,8
2018-04-14,26,The Weeknd,Try Me,1,-,26,1
2018-04-14,27,The Weeknd,Wasted Times,1,-,27,1
2018-04-14,28,Kane Brown,Heaven,2,28,28,15
2018-04-14,29,Imagine Dragons,Thunder,1,24,4,48
2018-04-14,30,Maroon 5,Wait,2,26,26,12
2018-04-14,31,Shawn Mendes,In My Blood,1,22,22,3
2018-04-14,32,G-Eazy & Halsey,Him & I,1,25,14,17
2018-04-14,33,MAX Featuring gnash,Lights Down Low,1,27,20,25
2018-04-14,34,Rae Sremmurd & Juicy J,Powerglide,1,38,34,5
2018-04-14,35,The Weeknd Featuring Gesaffelstein,I Was Never There,1,-,35,1
2018-04-14,36,Jason Aldean,You Make It Easy,1,34,28,10
2018-04-14,37,Justin Timberlake Featuring Chris Stapleton,Say Something,1,33,9,10
2018-04-14,38,Portugal. The Man,Feel It Still,1,32,4,41
2018-04-14,39,Post Malone,I Fall Apart,1,29,16,27
2018-04-14,40,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,1,31,21,12
2018-04-14,41,Rich The Kid Featuring Kendrick Lamar,New Freezer,1,42,41,10
2018-04-14,42,Halsey,Bad At Love,1,37,5,30
2018-04-14,43,The Weeknd Featuring Gesaffelstein,Hurt You,1,-,43,1
2018-04-14,44,Thomas Rhett,Marry Me,1,35,30,17
2018-04-14,45,Queen Naija,Medicine,1,-,45,1
2018-04-14,46,Taylor Swift,Delicate,1,52,46,4
2018-04-14,47,Nicky Jam x J Balvin,X,1,51,47,5
2018-04-14,48,N*E*R*D & Rihanna,Lemon,1,36,36,21
2018-04-14,49,Luke Bryan,Most People Are Good,1,46,46,10
2018-04-14,50,Jordan Davis,Singles You Up,1,50,50,9
2018-04-14,51,Cardi B Featuring 21 Savage,Bartier Cardi,1,47,14,15
2018-04-14,52,The Weeknd,Privilege,1,-,52,1
2018-04-14,53,Famous Dex,Japan,1,70,53,2
2018-04-14,54,YoungBoy Never Broke Again,Outside Today,1,40,31,12
2018-04-14,55,Meghan Trainor,No Excuses,1,55,46,5
2018-04-14,56,Khalid & Normani,Love Lies,1,49,43,7
2018-04-14,57,Dua Lipa,IDGAF,1,54,54,12
2018-04-14,58,XXXTENTACION,Changes,1,39,37,5
2018-04-14,59,Daddy Yankee,Dura,1,53,50,9
2018-04-14,60,6ix9ine,Billy,1,57,50,6
2018-04-14,61,Bad Wolves,Zombie,1,65,54,4
2018-04-14,62,Demi Lovato,Tell Me You Love Me,2,59,53,18
2018-04-14,63,Ozuna & Romeo Santos,El Farsante,1,63,49,10
2018-04-14,64,Chris Stapleton,Broken Halos,4,58,45,19
2018-04-14,65,Brett Eldredge,The Long Way,1,68,65,9
2018-04-14,66,Dan + Shay,Tequila,2,74,66,4
2018-04-14,67,Luke Combs,One Number Away,1,73,67,3
2018-04-14,68,Derez De'Shon,Hardaway,1,61,61,9
2018-04-14,69,Logic & Marshmello,Everyday,1,67,29,5
2018-04-14,70,"DJ Khaled Featuring JAY Z, Future & B",Top Off,1,66,22,5
2018-04-14,71,XXXTENTACION,Moonlight,1,48,35,3
2018-04-14,72,Foster The People,Sit Next To Me,1,78,72,3
2018-04-14,73,Lauv,I Like Me Better,1,76,73,8
2018-04-14,74,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,2,80,74,4
2018-04-14,75,Devin Dawson,All On Me,3,62,52,18
2018-04-14,76,Scotty McCreery,Five More Minutes,1,72,44,17
2018-04-14,77,Lil Skies Featuring Landon Cube,Red Roses,1,69,69,13
2018-04-14,78,Ella Mai,Boo'd Up,1,-,78,1
2018-04-14,79,High Valley,She's With Me,1,81,79,6
2018-04-14,80,Tank,When We,3,82,78,13
2018-04-14,81,Blake Shelton,I Lived It,1,83,81,5
2018-04-14,82,SZA,Broken Clocks,2,-,82,2
2018-04-14,83,Morgan Wallen Featuring Florida Georgia Line,Up Down,1,86,83,2
2018-04-14,84,Alice Merton,No Roots,1,100,84,2
2018-04-14,85,Lil Skies Featuring Landon Cube,Nowadays,1,84,55,13
2018-04-14,86,Panic! At The Disco,Say Amen (Saturday Night),1,60,60,2
2018-04-14,87,YoungBoy Never Broke Again,No Smoke,2,79,61,17
2018-04-14,88,Chris Brown,Tempo,2,92,88,4
2018-04-14,89,"Tyler, The Creator",OKRA,1,-,89,1
2018-04-14,90,Darius Rucker,For The First Time,1,95,90,2
2018-04-14,91,Luis Fonsi & Demi Lovato,Echame La Culpa,1,90,47,19
2018-04-14,92,Chris Lane Featuring Tori Kelly,Take Back Home Girl,1,-,92,1
2018-04-14,93,Old Dominion,Written In The Sand,1,91,51,19
2018-04-14,94,Dierks Bentley,"Woman, Amen",1,-,94,1
2018-04-14,95,Ozuna x Cardi B,La Modelo,2,94,94,14
2018-04-14,96,2 Chainz Featuring YG & Offset,Proud,1,-,96,1
2018-04-14,97,P!nk,Beautiful Trauma,2,88,78,15
2018-04-14,98,Lil Yachty Featuring NBA YoungBoy,NBAYoungboat,1,75,63,4
2018-04-14,99,Daniel Caesar Featuring Kali Uchis,Get You,2,99,99,5
2018-04-14,100,H.E.R.,Focus,1,-,100,1
2018-04-21,1,Drake,Nice For What,1,-,1,1
2018-04-21,2,Drake,God's Plan,1,1,1,12
2018-04-21,3,Bebe Rexha & Florida Georgia Line,Meant To Be,1,2,2,24
2018-04-21,4,Post Malone Featuring Ty Dolla $ign,Psycho,1,3,2,7
2018-04-21,5,BlocBoy JB Featuring Drake,Look Alive,1,5,5,9
2018-04-21,6,"Zedd, Maren Morris & Grey",The Middle,1,6,6,11
2018-04-21,7,Ed Sheeran,Perfect,2,7,1,32
2018-04-21,8,"Cardi B, Bad Bunny & J Balvin",I Like It,1,-,8,1
2018-04-21,9,Lil Dicky Featuring Chris Brown,Freaky Friday,1,9,8,4
2018-04-21,10,Bruno Mars & Cardi B,Finesse,1,8,3,15
2018-04-21,11,Cardi B,Be Careful,1,16,11,2
2018-04-21,12,Migos Featuring Drake,Walk It Talk It,1,10,10,11
2018-04-21,13,Rich The Kid,Plug Walk,1,13,13,9
2018-04-21,14,Bazzi,Mine,1,12,11,12
2018-04-21,15,Camila Cabello,Never Be The Same,2,14,14,16
2018-04-21,16,Camila Cabello Featuring Young Thug,Havana,2,11,1,34
2018-04-21,17,The Weeknd & Kendrick Lamar,Pray For Me,1,15,7,10
2018-04-21,18,XXXTENTACION,Sad!,1,18,7,6
2018-04-21,19,Migos,Stir Fry,1,17,8,16
2018-04-21,20,The Weeknd,Call Out My Name,1,4,4,2
2018-04-21,21,Cardi B Featuring Migos,Drip,1,-,21,1
2018-04-21,22,Imagine Dragons,Whatever It Takes,2,23,22,11
2018-04-21,23,Cardi B Featuring SZA,I Do,1,-,23,1
2018-04-21,24,Post Malone Featuring 21 Savage,Rockstar,1,21,1,29
2018-04-21,25,Kendrick Lamar & SZA,All The Stars,1,19,7,14
2018-04-21,26,Offset & Metro Boomin,Ric Flair Drip,1,20,13,23
2018-04-21,27,Dua Lipa,New Rules,1,22,6,36
2018-04-21,28,Cardi B Featuring Kehlani,Ring,1,-,28,1
2018-04-21,29,Famous Dex,Japan,1,53,29,3
2018-04-21,30,Kane Brown,Heaven,2,28,28,16
2018-04-21,31,NF,Let You Down,1,24,12,25
2018-04-21,32,Cardi B Featuring 21 Savage,Bartier Cardi,1,51,14,16
2018-04-21,33,Imagine Dragons,Thunder,1,29,4,49
2018-04-21,34,Marshmello & Anne-Marie,Friends,1,25,25,9
2018-04-21,35,Maroon 5,Wait,2,30,26,13
2018-04-21,36,Rae Sremmurd & Juicy J,Powerglide,1,34,34,6
2018-04-21,37,Shawn Mendes,In My Blood,1,31,22,4
2018-04-21,38,Cardi B,Get Up 10,1,-,38,1
2018-04-21,39,Cardi B Featuring Chance The Rapper,Best Life,1,-,39,1
2018-04-21,40,Portugal. The Man,Feel It Still,1,38,4,42
2018-04-21,41,Jason Aldean,You Make It Easy,1,36,28,11
2018-04-21,42,Justin Timberlake Featuring Chris Stapleton,Say Something,1,37,9,11
2018-04-21,43,Cardi B,Bickenhead,1,-,43,1
2018-04-21,44,G-Eazy & Halsey,Him & I,1,32,14,18
2018-04-21,45,MAX Featuring gnash,Lights Down Low,1,33,20,26
2018-04-21,46,Post Malone,I Fall Apart,1,39,16,28
2018-04-21,47,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,1,40,21,13
2018-04-21,48,Halsey,Bad At Love,1,42,5,31
2018-04-21,49,Rich The Kid Featuring Kendrick Lamar,New Freezer,1,41,41,11
2018-04-21,50,Cardi B,Thru Your Phone,1,-,50,1
2018-04-21,51,Jordan Davis,Singles You Up,1,50,50,10
2018-04-21,52,YoungBoy Never Broke Again,Outside Today,1,54,31,13
2018-04-21,53,Meghan Trainor,No Excuses,1,55,46,6
2018-04-21,54,Taylor Swift,Delicate,1,46,46,5
2018-04-21,55,Thomas Rhett,Marry Me,1,44,30,18
2018-04-21,56,Khalid & Normani,Love Lies,1,56,43,8
2018-04-21,57,Cardi B & YG,She Bad,1,-,57,1
2018-04-21,58,Cardi B,Money Bag,1,-,58,1
2018-04-21,59,YoungBoy Never Broke Again,Diamond Teeth Samurai,1,-,59,1
2018-04-21,60,Luke Bryan,Most People Are Good,1,49,46,11
2018-04-21,61,Nicky Jam x J Balvin,X,1,47,47,6
2018-04-21,62,Calvin Harris & Dua Lipa,One Kiss,1,-,62,1
2018-04-21,63,The Weeknd,Wasted Times,1,27,27,2
2018-04-21,64,Dua Lipa,IDGAF,1,57,54,13
2018-04-21,65,A$AP Rocky Featuring Moby,A$AP Forever,1,-,65,1
2018-04-21,66,XXXTENTACION,Changes,1,58,37,6
2018-04-21,67,Bad Wolves,Zombie,1,61,54,5
2018-04-21,68,6ix9ine,Billy,1,60,50,7
2018-04-21,69,Demi Lovato,Tell Me You Love Me,2,62,53,19
2018-04-21,70,Daddy Yankee,Dura,1,59,50,10
2018-04-21,71,Brett Eldredge,The Long Way,1,65,65,10
2018-04-21,72,Ella Mai,Boo'd Up,1,78,72,2
2018-04-21,73,Ozuna & Romeo Santos,El Farsante,1,63,49,11
2018-04-21,74,The Weeknd,Try Me,1,26,26,2
2018-04-21,75,Luke Combs,One Number Away,1,67,67,4
2018-04-21,76,Logic & Marshmello,Everyday,1,69,29,6
2018-04-21,77,Dan + Shay,Tequila,2,66,66,5
2018-04-21,78,XXXTENTACION,Moonlight,1,71,35,4
2018-04-21,79,Foster The People,Sit Next To Me,1,72,72,4
2018-04-21,80,Lauv,I Like Me Better,1,73,73,9
2018-04-21,81,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,2,74,74,5
2018-04-21,82,Chris Stapleton,Broken Halos,4,64,45,20
2018-04-21,83,Nicki Minaj,Barbie Tingz,1,-,83,1
2018-04-21,84,Derez De'Shon,Hardaway,1,68,61,10
2018-04-21,85,Kenny Chesney,Get Along,1,-,85,1
2018-04-21,86,Queen Naija,Medicine,1,45,45,2
2018-04-21,87,High Valley,She's With Me,1,79,79,7
2018-04-21,88,Morgan Wallen Featuring Florida Georgia Line,Up Down,1,83,83,3
2018-04-21,89,Scotty McCreery,Five More Minutes,1,76,44,18
2018-04-21,90,"DJ Khaled Featuring JAY Z, Future & B",Top Off,1,70,22,6
2018-04-21,91,Tank,When We,3,80,78,14
2018-04-21,92,Nicki Minaj,Chun-Li,1,-,92,1
2018-04-21,93,Devin Dawson,All On Me,3,75,52,19
2018-04-21,94,Lil Skies Featuring Landon Cube,Red Roses,1,77,69,14
2018-04-21,95,Blake Shelton,I Lived It,1,81,81,6
